,Run,DES,Power,Time,TPC,TFC,DPPH,ABTS,MCA
Run,1.0,0.8090398349558905,0.26967994498529685,0.07460470969529906,0.5118485100641809,-0.4462203079156583,0.6706270352391639,0.5432997722795626,-0.5538869375729424
DES,0.8090398349558905,1.0,4.593407584711759e-17,-7.862629092478643e-17,0.17453967102722248,-0.12359880668281868,0.32803957303942566,0.2294543820739812,-0.24723978232609245
Power,0.26967994498529685,4.593407584711759e-17,1.0,0.18442777839082936,0.4004775273876149,-0.4744599353308197,0.4761864769927152,0.4313742382990848,-0.4007546798488299
Time,0.07460470969529906,-7.862629092478643e-17,0.18442777839082936,1.0,-0.010545669111927544,0.09529802939818632,-0.004683840749414603,0.06601570860759398,0.09620259402320631
TPC,0.5118485100641809,0.17453967102722248,0.4004775273876149,-0.010545669111927544,1.0,-0.9846154495224075,0.9761086092771128,0.9904508769191337,-0.9898989025280847
TFC,-0.4462203079156583,-0.12359880668281868,-0.4744599353308197,0.09529802939818632,-0.9846154495224075,1.0,-0.9590629930349783,-0.9691533708721567,0.9851099797900388
DPPH,0.6706270352391639,0.32803957303942566,0.4761864769927152,-0.004683840749414603,0.9761086092771128,-0.9590629930349783,1.0,0.9772489323386465,-0.9794912048792168
ABTS,0.5432997722795626,0.2294543820739812,0.4313742382990848,0.06601570860759398,0.9904508769191337,-0.9691533708721567,0.9772489323386465,1.0,-0.9746924618598867
MCA,-0.5538869375729424,-0.24723978232609245,-0.4007546798488299,0.09620259402320631,-0.9898989025280847,0.9851099797900388,-0.9794912048792168,-0.9746924618598867,1.0
