Independent Variable,Response,R2
DES,TPC,0.8043757583346004
DES,TFC,0.7655484974501798
DES,DPPH,0.7155222610409386
DES,ABTS,0.7610984752758824
DES,MCA,0.8166762239602918
Power,TPC,0.2123152277830177
Power,TFC,0.25946326605877945
Power,DPPH,0.28642613992654353
Power,ABTS,0.22736079521523034
Power,MCA,0.20579412231664618
Time,TPC,0.20551988473428728
Time,TFC,0.2352479238996349
Time,DPPH,0.21573501746842294
Time,ABTS,0.18808861932440424
Time,MCA,0.204041951818706
