Independent Variable,Response,Slope,Intercept,R2
DES,TPC,0.18111111111111125,108.32666666666665,0.030464096762291004
DES,TFC,-0.0344444444444444,16.443333333333335,0.015276665013416735
DES,DPPH,0.03444444444444447,23.776666666666667,0.1076099614798901
DES,ABTS,0.0277777777777778,8.666666666666664,0.05264931345295287
DES,MCA,-0.17000000000000004,43.53,0.06112750996465366
Power,TPC,0.05666666666666668,103.21,0.16038224994249795
Power,TFC,-0.018030303030303042,19.810000000000006,0.22511223023412563
Power,DPPH,0.006818181818181821,24.110000000000003,0.22675356087073384
Power,ABTS,0.0071212121212121254,8.399999999999999,0.18608373346811546
Power,MCA,-0.037575757575757596,43.18000000000001,0.1606043134207381
Time,TPC,-0.018163265306122865,122.43673469387755,0.00011121113701817453
Time,TFC,0.04408163265306125,12.581632653061227,0.009081714407177532
Time,DPPH,-0.0008163265306122874,26.38367346938776,2.1938364165197122e-05
Time,ABTS,0.013265306122448979,10.36530612244898,0.004358073782962935
Time,MCA,0.10979591836734678,27.595918367346943,0.009254939096793868
