Response,Optimal_DES,Optimal_Power,Optimal_Time,Predicted_Response
TPC,75.47313782773367,292.18644740049086,33.54689040988808,138.112366372219
TFC,60.0,220.0,20.0,24.70250000004451
DPPH,76.02068401965136,417.34728366630316,32.29107039425181,28.479031868173347
ABTS,77.35065410721256,440.0,26.649859848791692,11.833292563667916
MCA,60.0,272.8187079358555,40.0,55.07277596344559
