,Run,DES,Power,Time,TPC,TFC,DPPH,ABTS,MCA
Run,1.0,0.07001400420140047,0.10502100630210073,0.140028008402801,0.8909098824732665,-0.47027967046472124,0.5823078090330083,0.8297912041111998,-0.7915528834890252
DES,0.07001400420140047,1.0,-3.445055688533819e-17,-4.7369515717340015e-17,0.07017151406878974,-0.28425161049408254,0.06160754876430803,0.37392175594459925,-0.4456210378378581
Power,0.10502100630210073,-3.445055688533819e-17,1.0,0.0,-0.015492412197005376,-0.604333255924394,0.5236641644966181,0.004373353870697021,-0.08936092525035404
Time,0.140028008402801,-4.7369515717340015e-17,0.0,1.0,0.010024502009827133,-0.32963632141330595,0.09241132314646242,-0.0021866769353485337,0.03195688717562324
TPC,0.8909098824732665,0.07017151406878974,-0.015492412197005376,0.010024502009827133,1.0,-0.3904740157972966,0.45833723736120346,0.9448555892210168,-0.9001631487865255
TFC,-0.47027967046472124,-0.28425161049408254,-0.604333255924394,-0.32963632141330595,-0.3904740157972966,1.0,-0.6692492434746194,-0.4435655431351687,0.4743723883407892
DPPH,0.5823078090330083,0.06160754876430803,0.5236641644966181,0.09241132314646242,0.45833723736120346,-0.6692492434746194,1.0,0.42720759396973096,-0.44666552610754234
ABTS,0.8297912041111998,0.37392175594459925,0.004373353870697021,-0.0021866769353485337,0.9448555892210168,-0.4435655431351687,0.42720759396973096,1.0,-0.9877023707779241
MCA,-0.7915528834890252,-0.4456210378378581,-0.08936092525035404,0.03195688717562324,-0.9001631487865255,0.4743723883407892,-0.44666552610754234,-0.9877023707779241,1.0
