Response,R2,RMSE
TPC,-1.75347565436663,29.476773384316733
TFC,-0.7092627063340442,4.339739646968587
DPPH,-31.495918630291726,3.502921477109953
ABTS,-2.26808022342574,6.473176762044696
MCA,-3.0694498890348196,26.749996295479164
