,Run,DES,Power,Time,TPC,TFC,DPPH,ABTS,MCA
count,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
mean,9.0,75.0,330.0,30.0,118.74117647058824,11.788235294117648,27.705882352941178,8.141176470588235,30.758823529411764
std,5.049752469181039,10.606601717798213,77.78174593052023,7.0710678118654755,19.397907710096252,3.7003179513626216,0.5738799833537653,4.04213106286916,14.935656113121102
min,1.0,60.0,220.0,20.0,95.6,6.5,26.8,2.0,13.8
25%,5.0,75.0,330.0,30.0,99.2,9.1,27.2,6.0,18.8
50%,9.0,75.0,330.0,30.0,130.4,10.8,27.9,11.4,23.4
75%,13.0,75.0,330.0,30.0,137.6,13.4,28.2,11.6,36.5
max,17.0,90.0,440.0,40.0,139.2,18.9,28.4,11.7,54.5
